TrainList2Schema		478	OPC_PROP_B_TRAIN_LIST2_SCHEMA

PHYS			0	OPCB_ENUM_PHYS
PROC			1	OPCB_ENUM_PROC
STATE			2	OPCB_ENUM_STATE
MODE			3	OPCB_ENUM_MODE
PARAM			4	OPCB_ENUM_PARAM

ENTERPRISE		0	OPCB_PHYS_ENTERPRISE
SITE			1	OPCB_PHYS_SITE
AREA			2	OPCB_PHYS_AREA
PROCESSCELL		3	OPCB_PHYS_PROCESSCELL
UNIT			4	OPCB_PHYS_UNIT
EQUIPMENTMODULE	5	OPCB_PHYS_EQUIPMENTMODULE
CONTROLMODULE		6	OPCB_PHYS_CONTROLMODULE
EPE			7	OPCB_PHYS_EPE

PROCEDURE		0	OPCB_PROC_PROCEDURE
UNITPROCEDURE		1	OPCB_PROC_UNITPROCEDURE
OPERATION		2	OPCB_PROC_OPERATION
PHASE			3	OPCB_PROC_PHASE
PARAMETER_COLLECTION	4	OPCB_PROC_PARAMETER_COLLECTION
PARAMETER		5	OPCB_PROC_PARAMETER
RESULT_COLLECTION 	6	OPCB_PROC_RESULT_COLLECTION
RESULT			7	OPCB_PROC_RESULT
BATCH 			8	OPCB_PROC_BATCH
CAMPAIGN		9	OPCB_PROC_CAMPAIGN

IDLE			0	OPCB_STATE_IDLE
RUNNING		1	OPCB_STATE_RUNNING
COMPLETE		2	OPCB_STATE_COMPLETE
PAUSING			3	OPCB_STATE_PAUSING
PAUSED			4	OPCB_STATE_PAUSED
HOLDING			5	OPCB_STATE_HOLDING
HELD			6	OPCB_STATE_HELD
RESTARTING		7	OPCB_STATE_RESTARTING
STOPPING		8	OPCB_STATE_STOPPING
STOPPED		9	OPCB_STATE_STOPPED
ABORTING		10	OPCB_STATE_ABORTING
ABORTED		11	OPCB_STATE_ABORTED
UNKNOWN		12	OPCB_STATE_UNKNOWN

AUTOMATIC		0	OPCB_MODE_AUTOMATIC	
SEMIAUTOMATIC		1	OPCB_MODE_SEMIAUTOMATIC
MANUAL			2	OPCB_MODE_MANUAL
UNKNOWN		3	OPCB_MODE_UNKNOWN

PROCESSINPUT		0	OPCB_PARAM_PROCESSINPUT
PROCESSPARAMETER	1	OPCB_PARAM_PROCESSPARAMETER
PROCESSOUTPUT		2	OPCB_PARAM_PROCESSOUTPUT
